sample_index,true_label,predicted_label
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,1,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,1,1
592,0,0
593,0,0
594,0,0
595,0,0
596,1,1
597,0,0
598,0,0
599,0,0
